-0.002241594,-0.00255102
0.025404732,0.046428571
0.04856787,0.078571429
0.082938979,0.115306122
0.119551681,0.145918367
0.142714819,0.159693878
0.177085928,0.170408163
0.21369863,0.178061224
0.252552927,0.178061224
0.301867995,0.170408163
0.372851806,0.14744898
0.437858032,0.107653061
0.514072229,0.041836735
0.597758406,-0.05
0.638854296,-0.103571429
0.673225405,-0.147959184
0.718804483,-0.201530612
0.78381071,-0.248979592
0.827895392,-0.250510204
0.875716065,-0.218367347
0.913075965,-0.167857143
0.951183064,-0.094387755
0.987795766,-0.025510204
1.00124533,-0.004081633
